QUIZ1,QUIZ2,ASSIGNMENT,MIDSEM,ENDSEM
100,96.43,80,100,98
85,97.14,76.67,100,100
100,98.57,73.33,100,94.67
80,98.57,76.67,100,97.33
85,97.86,93.33,85,95.33
55,100,83.33,100,97.33
70,94.29,83.33,100,98
100,95.71,73.33,85,94
75,92.86,70,100,97.33
80,96.43,46.67,100,96.67
75,87.86,83.33,100,98.67
70,92.86,83.33,90,96.67
40,96.43,90,100,96
70,92.14,63.33,100,97.33
70,97.86,93.33,75,91.33
100,95.71,56.67,70,94
55,89.29,73.33,100,99.33
55,100,80,70,96
70,92.86,80,100,90
60,94.29,66.67,100,93.33
75,95,70,75,93.33
60,97.14,80,70,94.67
85,89.29,66.67,70,97.33
40,93.57,100,85,94.67
80,92.14,73.33,60,97.33
70,86.43,80,100,92.67
45,92.86,90,100,91.33
100,92.86,66.67,40,96.67
30,97.14,86.67,85,94.67
75,91.43,63.33,80,92
75,78.57,86.67,85,98
70,85.71,96.67,70,94.67
70,92.14,50,80,93.33
85,88.57,60,85,89.33
70,89.29,56.67,85,92.67
25,94.29,83.33,85,94.67
85,95.71,76.67,40,90.67
40,93.57,80,75,94.67
55,94.29,86.67,55,93.33
70,88.57,73.33,70,93.33
70,92.86,73.33,70,89.33
85,86.43,73.33,70,90.67
40,92.14,70,100,90
55,87.14,70,85,94
70,90,76.67,70,89.33
60,96.43,80,55,89.33
85,85,56.67,80,90.67
55,90.71,76.67,60,94.67
65,90,76.67,40,96
50,94.29,70,70,89.33
35,90.71,76.67,75,94
70,86.43,73.33,55,94.67
20,93.57,86.67,85,90
55,95,73.33,85,81.33
100,93.57,50,55,83.33
75,86.43,40,75,93.33
40,95.71,70,55,93.33
40,90.71,60,100,87.33
45,87.86,76.67,90,88
70,94.29,60,55,86.67
60,92.86,40,85,86.67
40,91.43,66.67,70,92
45,90,60,70,93.33
70,81.43,76.67,75,90
70,80.71,63.33,100,86
85,82.86,56.67,70,88
15,92.86,76.67,75,92
50,90.71,56.67,55,93.33
30,86.43,46.67,85,96
50,89.29,83.33,75,83.33
55,88.57,73.33,85,82
70,85.71,76.67,60,86.67
60,87.86,53.33,90,83.33
100,77.14,66.67,40,93.33
55,95,53.33,55,86.67
70,93.57,36.67,60,86
70,88.57,73.33,60,83.33
75,94.29,33.33,85,78
25,89.29,76.67,75,90
60,92.14,43.33,55,89.33
55,89.29,50,70,88
55,90.71,56.67,70,84.67
35,80.71,90,55,96.67
55,85.71,56.67,55,91.33
70,85,53.33,90,79.33
55,95.71,50,70,78.67
25,95.71,66.67,75,81.33
50,92.14,63.33,15,94.67
40,92.14,70,85,76.67
55,80,76.67,40,94.67
85,88.57,36.67,70,78.67
60,88.57,26.67,60,89.33
85,83.57,46.67,85,76.67
40,92.86,46.67,55,88
35,92.14,56.67,50,88
45,87.86,53.33,70,84.67
65,91.43,33.33,85,75.33
70,77.86,60,45,91.33
65,87.86,50,75,77.33
55,85,63.33,70,78.67
10,79.29,40,100,92.67
50,89.29,50,90,73.33
55,80,73.33,65,82
40,90,56.67,35,87.33
70,70,53.33,70,89.33
40,85.71,50,55,87.33
70,80.71,56.67,70,78
45,82.86,60,50,87.33
40,91.43,70,55,77.33
30,85,43.33,70,87.33
45,95.71,93.33,20,76
100,85,30,45,77.33
35,92.86,70,20,86
50,83.57,53.33,60,83.33
25,95,46.67,40,85.33
45,86.43,50,55,83.33
45,77.14,66.67,90,79.33
70,89.29,66.67,60,68.67
15,86.43,66.67,60,84.67
15,86.43,56.67,55,88
75,83.57,50,15,86.67
55,87.86,53.33,55,75.33
30,88.57,50,55,80.67
55,88.57,36.67,55,76.67
70,82.14,50,45,78
55,89.29,60,40,74.67
15,94.29,56.67,55,76
55,80.71,50,70,75.33
30,82.86,70,55,80
20,85.71,66.67,45,82.67
5,84.29,63.33,55,86
45,79.29,46.67,70,78.67
25,89.29,53.33,90,68
55,72.86,43.33,85,78.67
70,77.86,20,70,78
20,83.57,50,40,86.67
40,75,76.67,90,70.67
5,85,76.67,60,78.67
45,76.43,43.33,55,82
25,82.86,23.33,70,81.33
70,82.86,33.33,60,70
-10,90,30,85,78
50,73.57,46.67,60,80.67
25,77.86,50,85,75.33
65,74.29,23.33,70,77.33
55,85.71,33.33,55,71.33
15,82.86,76.67,30,81.33
60,77.86,-3.33,65,80
40,72.86,73.33,25,85.33
10,78.57,36.67,70,82.67
55,88.57,16.67,30,76
55,82.14,26.67,40,76.67
15,80,26.67,55,85.33
65,85.71,43.33,40,67.33
25,66.43,66.67,70,83.33
10,74.29,36.67,45,92.67
55,82.14,50,60,66
45,91.43,73.33,30,63.33
70,73.57,43.33,65,70
15,87.86,63.33,75,64.67
35,78.57,46.67,45,78.67
15,79.29,26.67,45,87.33
0,80.71,46.67,50,84.67
25,80.71,46.67,60,74.67
25,82.86,46.67,25,81.33
50,85.71,43.33,40,68
35,75,16.67,70,79.33
-15,86.43,56.67,40,82
50,64.29,66.67,75,73.33
30,79.29,30,50,78.67
60,77.14,60,25,73.33
70,79.29,23.33,25,76
45,81.43,20,65,70
40,81.43,23.33,70,69.33
30,82.14,56.67,0,83.33
10,75.71,46.67,80,75.33
45,84.29,46.67,40,68.67
40,77.86,50,35,76
55,87.14,13.33,85,57.33
0,81.43,40,50,80.67
40,76.43,43.33,55,72
40,87.14,36.67,40,67.33
30,84.29,33.33,70,64
40,82.86,36.67,35,71.33
65,75.71,33.33,50,68
10,88.57,43.33,40,70.67
20,82.86,50,55,67.33
45,87.14,0,35,72
55,75.71,40,45,68.67
70,62.86,46.67,60,71.33
25,83.57,36.67,30,72.67
